(ID),"Company Name",Type,Address,City,State,ZIP,Country,Phone,Website,"Inception Date",Jurisdiction,"SEC Number","Employees (from Statements->Employees, most recent)","Contact Name 1","Contact Title 2"
801-55209,"  Rreef America L.L.C.     ","Funds Manager"," 222 S. Riverside Plaza"," Chicago"," Illinois","  60606 "," United States","  (312) 537-7000",http://www.rreef.com,1998-01-27,Delaware,801-55209,195,"Bryan Dejonge","Chief Financial Officer","Pierre Cherki","Global Chief Executive Officer","Jennifer Cattier","Chief Legal Officer"
801-73376,"  Eagle&#39;s View Capital Management LLC     ","Funds Manager"," 135 East 57th Street"," New York"," New York","  10022 "," United States","  (212) 421-7300",http://www.evhedge.com,2012-02-29,Delaware,801-73376,8,"Neal Berger",President,"Robert Gelfond",Owner,"Joel Rudin","Chief Operating Officer and Chief Compliance Officer"
801-56989,"  LMM LLC     ","Funds Manager"," 100 International Drive"," Baltimore"," Maryland","  21202 "," United States","  (410) 454-3130",http://www.lmminvestments.com,1999-12-01,Delaware,801-56989,13,"William Miller","Managing Member","Michael Scanlon","Chief Compliance Officer",,
801-71886,"  TPH Asset Management LLC     ","Funds Manager"," 1111 Bagby Street"," Houston"," Texas","  77002 "," United States",,http://www.tphassetmanagement.com,2010-11-04,Delaware,801-71886,20,"Robert Tudor","Chairman of the Board; Elected Manager","Daniel Pickering","Head of Asset Management; Chief Investment Officer; Elected Manager","Alexandra Pruner","Elected Manager"
,"  Bridge City Capital, LLC     ","Funds Manager"," 6420 SW Macadam Suite 206"," Portland"," Oregon","  97239 "," United States","  (503) 265-8554",http://www.bridgecitycap.com/,,,,5,,,,,,
801-74582,"  Menlo Equities LLC     ","Funds Manager"," 490 South California Avenue"," Palo Alto"," California","  94306-1989 "," United States","  (650) 326-9300",http://www.menloequities.com,2012-03-26,California,801-74582,24,"Richard Holmstrom","Managing Principal","Jane Vaughan",Partner,"Henry Bullock","Managing Principal"
801-53815,"  Security Capital Research &amp; Management Incorporated     ","Funds Manager"," 10 South Dearborn Street"," Chicago"," Illinois","  60603 "," United States","  (312) 385-8320",http://www.securitycapital.com,1997-02-10,Delaware,801-53815,21,"Kevin Bedell","Managing Director","Anthony Manno","Ceo, President, Director &amp; Managing Director","Kenneth Statz","Managing Director"
801-63319,"  Avenue Europe International Management, L.P.     ","Funds Manager"," 399 Park Avenue"," New York"," New York","  10022 "," United States","  (212) 878-3500",https://www.avenuecapital.com,2004-07-02,Delaware,801-63319,137,"Marc Lasry","Chairman and Chief Executive Officer of Avenue Capital Group","Eric Ross","Senior Managing Director, Chief Compliance Officer of Avenue Capital Group","David Croen","Senior Managing Director, Chief Risk Officer of Avenue Capital Group"
,"  Mack Real Estate Credit Strategies, L.P.     ","Funds Manager"," 60 Columbus Circle"," New York"," New York","  10023 "," United States","  (212) 484-0020",http://www.clarosfund.com,,,,9,,,,,,
801-28444,"  Geneva Capital Management LLC     ","Funds Manager"," 100 E Wisconsin Avenue, Suite 2550"," Milwaukee"," Wisconsin","  53202 "," United States","  (414) 224-6002",http://www.henderson.com/henderson,1986-12-04,Delaware,801-28444,29,"Amy Croen","Executive Officer","William Priebe","Executive Officer","Michelle Picard","Executive Officer"
801-81156,"  Hays Capital Management, LLC     ","Funds Manager"," 105 Continental Place"," Brentwood"," Tennessee","  37027 "," United States","  (615) 467-6070",,2015-03-23,Tennessee,801-81156,5,"Wendy Vasquez","Chief Compliance Officer","Keith Hays",Member,"Jeffrey Hays","Chief Manager"
801-80071,"  Jpmorgan Funds Limited     ","Funds Manager"," 60 Victoria Embankment"," London","  EC4Y 0JP ",," United Kingdom","  020 7742 6000",https://www.jpmorgan.co.uk,2014-08-12,"United Kingdom",801-80071,49,"Peter Schwicht","Director / Chief Executive Officer","Daniel Watkins","Director /Chief Operations Officer","Jasper Berens","Director/Managing Director"
801-73425,"  Steadfast Capital Management LP     ","Funds Manager"," 450 Park Avenue,"," New York"," New York","  10022 "," United States","  (212) 415-4600",http://www.steadfast.com,2012-03-30,Delaware,801-73425,35,"Robert Pitts","Limited Partner of Steadfast Capital Management Lp","Andrew Foote","Limited Partner of Steadfast Capital Management Lp","Elizabeth Pitts","Trustee of Pitts Family Trust Dated November 4, 1999, a Limited Partner of Steadfast Capital Management Lp"
801-57734,"  Avenue Capital Management II, L.P.     ","Funds Manager"," 399 Park Avenue"," New York"," New York","  10022 "," United States","  (212) 878-3500",https://www.avenuecapital.com,2000-07-17,Delaware,801-57734,142,"Marc Lasry","Chairman and Chief Executive Officer of Avenue Capital Group","Eric Ross","Senior Managing Director, Chief Compliance Officer of Avenue Capital Group","David Croen","Senior Managing Director, Chief Risk Officer of Avenue Capital Group"
801-68091,"  Pension Partners, LLC     ","Funds Manager"," 430 West 14th Street"," New York"," New York","  10014 "," United States","  (212) 255-5000",http://www.pensionpartners.com,2007-07-09,"New Jersey",801-68091,4,"Edward Dempsey","Managing Member &amp; Chief Compliance Officer","Michael Gayed","Chief Investment Strategist",,
801-15028,"  Grantham Mayo Van Otterloo &amp; Co LLC     ","Funds Manager"," 40 Rowes Wharf"," Boston"," Massachusetts","  021103340 "," United States","  (617) 330-7500",http://www.gmo.com,1979-12-31,Massachusetts,801-15028,480,"Richard Mayo","Capital Member","ROBERT GRANTHAM","Founding Member; Board Member","EYK VAN OTTERLOO","Founding Member"
801-60414,"  Avenue Asia Capital Management, L.P.     ","Funds Manager"," 399 Park Avenue"," New York City"," New York","  10022 "," United States","  (212) 878-3500",https://www.avenuecapital.com,2001-07-13,Delaware,801-60414,112,"Marc Lasry","Chairman and Chief Executive Officer of Avenue Capital Group","Eric Ross","Senior Managing Director, Chief Compliance Officer of of Avenue Capital Group","David Croen","Senior Managing Director, Chief Risk Officer of Avenue Capital Group"
801-68254,"  12TH Avenue Management, L.P.     ","Funds Manager"," 399 Park Avenue"," New York"," New York","  10022 "," United States","  (212) 878-3500",https://www.avenuecapital.com,2007-08-09,Delaware,801-68254,88,"Marc Lasry","Chairman and Chief Executive Officer of Avenue Capital Group","Eric Ross","Senior Managing Director, Chief Compliance Officer of Avenue Capital Group","David Croen","Senior Managing Director, Chief Risk Officer of Avenue Capital Group"
801-72926,"  Sonen Capital LLC     ","Funds Manager"," 50 Osgood"," San Francisco"," California","  94133 "," United States","  (415) 534-4444",http://sonencapital.com,2011-12-22,Delaware,801-72926,16,"Raul Pomares","Founder/Managing Director","Stuart Davidson","Chairman/Managing Director","Emily Silva","Chief Compliance Officer"
801-80466,"  Penserra Capital Management LLC     ","Funds Manager"," 140 Broadway"," New York"," New York","  10005 "," United States","  (800) 456-8850",https://www.penserra.com,2014-10-27,"New York",801-80466,7,"George Madrigal","President and Ceo","Anthony Castelli","Chief Compliance Officer and Risk Manager","Dustin Lewellyn","Managing Director"
801-64725,"  Jpmorgan Asset Management (UK) Limited     ","Funds Manager"," 60 Victoria Embankment"," London","  EC4Y 0JP ",," United Kingdom","  442077426000",http://am.jpmorgan.co.uk/,2005-09-29,"United Kingdom",801-64725,1243,"Martin Porter","Director/Managing Director/Cio-Global Head of Equities","Ioan Roberts",Director/Cfo,"Jonathan White","Head of Legal / Managing Director"
801-75986,"  LDR Capital Management, LLC     ","Funds Manager"," 410 Park Avenue"," New York"," New York","  10022 "," United States","  (646) 927-5800",http://www.ldrcapitalmgmt.com,2012-04-20,Delaware,801-75986,7,"Lawrence Raiman","Chief Executive Officer, President, Managing Member, Portfolio Manager","Marc Sulam",Member,"Carol Hutchings","Chief Compliance Officer and Controller"
801-41622,"  JF International Management Inc.     ","Funds Manager"," 21st Floor, Chater House, 8 Connaught Road Central"," Hong Kong","   Hong Kong",," Phone: 85228002800","   </address>",,1992-06-03,"British Virgin Islands",801-41622,43,"Muriel Sung","Chief Compliance Officer/Managing Director","Edward Pulling","Director/Managing Director","Rukhshad Shroff","Director/ Managing Director"
801-55882,"  Gray Financial Group Inc.     ","Funds Manager"," 3333 Piedmont Road"," Atlanta"," Georgia","  30305 "," United States","  (404) 883-2500",http://www.egrayco.com,1998-09-24,Georgia,801-55882,17,"Lawrence Gray",Shareholder,"Robert Hubbard","Co-Chief Executive Officer, Shareholder","Marc Hardy","Chief Financial Officer and Chief Compliance Officer"
801-14263,"  Washington Capital Management Inc     ","Funds Manager"," 1200 6th Ave"," Seattle"," Washington","  98101-3123 "," United States","  (206) 382-0825",http://www.wcmadvisors.com/,1978-10-01,Washington,801-14263,54,"Michael Russell","Director/Chairman/Senior Vice President","Lorrie Reiterman","Director/Chief Financial Officer","Ernest Jahncke",Director
801-21011,"  J.P. Morgan Investment Management Inc.     ","Funds Manager"," 270 Park Avenue"," New York"," New York","  10017-2014 "," United States","  (212) 648-1999",https://www.jpmorgan.com,1984-04-04,Delaware,801-21011,2751,"George Gatch","Director/Chairman/Managing Director","Lawrence Unrein","Director/Cio-Global Head of Private Equity/Managing Director","Martin Porter","Cio-Global Head of Equities &amp; Balanced Group/Managing Director"
801-62166,"  Invesco Canada Ltd.     ","Funds Manager"," 5140 Yonge Street"," Toronto"," Ontario","  M2N 6X7 "," Canada","  (800) 874-6275",https://www.trimark.ca,2003-06-20,"Ontario, Canada",801-62166,176,"David Warren","Director, Executive Vice President &amp; Chief Financial Officer","Annie Chong-Chew","Senior Vice President, Global Head of Portfolio Services","Pietro Intraligi",Director
801-10669,"  Tweedy, Browne Company LLC     ","Funds Manager"," One Station Place"," Stamford"," Connecticut","  6902 "," United States","  (203) 703-0600",http://www.tweedybrown.com,1975-03-25,Delaware,801-10669,47,"William Browne","Managing Director","John Spears","Managing Director","Thomas Shrager","Managing Director"
801-72126,"  Orinda Asset Management LLC     ","Funds Manager"," 4 Orinda Way, Suite 150 -A"," Orinda"," California","  94563 "," United States","  (925) 253-1300",http://www.orindafunds.com/,2011-02-07,Delaware,801-72126,9,"Craig Kirkpatrick","Member &amp; President","Cynthia Yee","Member &amp; Chief Compliance Officer","Brian Pawlowicz","Member &amp; Director of Capital Markets"
801-74583,"  Menlo Equities V LLC     ","Funds Manager"," 490 South California Avenue"," Palo Alto"," California","  94306-1989 "," United States","  (650) 326-9300",http://www.menloequities.com,2012-03-26,California,801-74583,24,"Jane Vaughan",Partner,"Henry Bullock","Managing Principal","Richard Holmstrom","Managing Principal"
801-80819,"  Sub-Sahara Capital Management LP     ","Funds Manager"," 23200 North Pima Road"," Scottsdale"," Arizona","  85255 "," United States","  (480) 689-4220",http://www.subsaharacapital.com/,2015-01-20,Delaware,801-80819,3,"Richard Walter","president.chief Executive Officer/Chief Investment Officer/Limited Partner","James Atkinson","Chief Financial Officer/Chief Compliance Officer/Limited Partner",,
801-61732,"  CDK Investment Management LLC     ","Funds Manager"," 405 Park Avenue"," New York"," New York","  10022 "," United States","  (212) 871-8550",,2003-01-23,Delaware,801-61732,11,"Brett Rogers","General Counsel &amp; Chief Compliance Officer","David Churchill","Chief Operating Officer","Michael Hankin","President &amp; Ceo - Brown Advisory"
801-62982,"  Fig LLC     ","Funds Manager"," 1345 Avenue Of The Americas"," New York"," New York","  10105 "," United States","  (212) 798-6100",http://www.fortress.com,2004-04-27,Delaware,801-62982,1071,"Wesley Edens","Principal and Director","Randal Nardone","Chief Executive Officer, Principal and Director","Daniel Bass","Chief Financial Officer"
801-71429,"  Community Investment Partners, Inc.     ","Funds Manager"," 7315 Wisconsin Avenue"," Bethesda"," Maryland","  20814 "," United States","  (301) 280-6000",http://www.communityinvestmentpartners.com,2010-05-20,Maryland,801-71429,33,"Humphrey Mensah","Chief Financial Officer","Kerwin Tesdell","Board Member","Justin Conway",President
801-56868,"  CTC Mycfo, LLC     ","Funds Manager"," 2200 Geng Road"," Palo Alto"," California","  94303 "," United States","  (650) 210-5000",http://www.ctcmycfo.com,1999-10-20,Delaware,801-56868,180,"Carol Flick",Cfo,"John Benevides",President,"Robert Gray","Chief Operating Officer"
801-80867,"  Crosswinds AUM LLC     ","Funds Manager"," 1325 Sixth Avenue, 28th Floor"," New York"," New York","  10019-9998 "," United States","  (212) 521-1107",http://www.crosswindsinc.com,2015-01-23,Delaware,801-80867,2,"Helen Martin","Chief Compliance Officer, Chief Operating Officer and Chief Legal Officer","Colin King","Chief Executive Officer and Chief Investment Officer",,
801-77782,"  Tiger Eye Capital LLC     ","Funds Manager"," 101 Park Avenue"," New York"," New York","  10178 "," United States","  (212) 883-3370",,2013-04-01,Delaware,801-77782,8,"John Raniolo","Cfo and Cco","Benjamin Gambill","Chief Executive Officer, Managing Member",,
801-74199,"  SKCP Fund Management LLC     ","Funds Manager"," 400 Park Avenue"," New York"," New York","  10022 "," United States","  (212) 826-2700",http://www.skcapitalpartners.com,2012-03-30,Delaware,801-74199,12,"Jamshid Keynejad","Founding Member, of Skcp Fund Management Llc","Barry Siadat","Founding Member, of Skcp Fund Management Llc","Jack Norris","Managing Member, of Skcp Fund Management Llc"
801-72148,"  Libremax Capital, LLC     ","Funds Manager"," 600 Lexington Avenue"," New York"," New York","  10022 "," United States","  (212) 612-1550",http://www.libremax.com,2011-03-09,Delaware,801-72148,36,"Greg Lippmann","Managing Member, Chief Investment Officer &amp; Portfolio Manager","Fred Brettschneider","Managing Member &amp; President","Jordan Milman","Member &amp; Head of Trading"
